text,gold_label,source,pred_label,source_index
Dust attacks try to de-anonymize you Don't interact with unknown small transactions.,prevention,prevent1.csv,,
SafeRug token - name says it all Dev doxxed? No. Audit? No. Still people aped in. Smh.,fraud,scam_fraud1.csv,,
Bought Ledger from Amazon third party Was tampered with. Pre-configured seed phrase included.,fraud,scam_fraud1.csv,,
"@iamllanero check out @capdotfinance, everything with  emmisions.",out_of_context,twitter_ooc,out_of_context,194.0
Look for 'abnormal candlestick patterns' Bots create unrealistic patterns.,prevention,prevent2.csv,,
Revoke token approvals monthly Use revoke.cash or Etherscan's revoke tool. Old approvals can drain you.,prevention,prevent1.csv,,
"@thedefiedge research time / privacy activity

1) 2 wallet adress railgun (z1 &amp; z2)

2 exchange &gt; matic or bnb &gt; go to railgun z1 wallet adress

3)  &gt;move to z2

4) unshield and move to metamask relay adress 

it's a simple example. 

infinite possibility.",fraud,twitter_fraud,fraud,476.0
"@0xroboroscap @0xyakitori 4) about 40% of trading volume is through gem, while the trading volume maintains at $400-500k per day. it's not bad given that they give out  incentives.

https://t.co/8oodt5ikv8 https://t.co/g6d3azoiku",out_of_context,twitter_ooc,out_of_context,161.0
"every contribution increases the strength of the community, thus the term ""shield wall"". despite being underprivileged with our fair launch and /treasury allocation, a little goes a long way!",out_of_context,twitter_ooc,out_of_context,138.0
Approved unlimited spending on a sketchy site They drained my USDC. Always set spending caps.,fraud,scam_fraud1.csv,,
Contract allows blacklisting They can block you from selling. Ultimate rug control.,fraud,scam_fraud1.csv,,
"@tferriss @cockpunch congrats! i was on the mint list, set my alarm at 3am to wake up for the mint, opened my laptop at 3:03, i saw  left 🥲",out_of_context,twitter_ooc,out_of_context,61.0
@floordelhi nice good kill,out_of_context,twitter_ooc,out_of_context,137.0
"its coming together!! we will all join forces and squash any and all scammers and ruggers. @torres1pr @phaltron @cryptop81983772 @shield_token @totallyarugpull @ledodovert and anyone else that wants in - #defidefenders rt, spread the word, we will end scams and rugs, one ata time",prevention,twitter_prevention,prevention,539.0
@macnbtc well played. it's a  for sure.,out_of_context,twitter_ooc,out_of_context,89.0
"@thatnodeguy it’s not an l_0 yet you dingbat. 

and before you counter with “it should be a layer  by now”… why don’t you create a feeless network yourself if you think it’s that easy of a task?",out_of_context,twitter_ooc,out_of_context,156.0
At least gold you can hold Crypto can disappear with a typo. Or a scam.,fraud,scam_fraud1.csv,,
"@kujimonsta @kujikast who doesn't like free stuff am i right?

what i like most about kujira is its goal of being #grownupdefi. it aims to be sustainable by implementing  inflation and relying solely on the fees the chain generates.

also, the kujira team is top-notch.",out_of_context,twitter_ooc,out_of_context,186.0
Initialize hardware wallet yourself Never use pre-initialized device.,prevention,prevent2.csv,,
Exchange volume is completely fake No real users. Just bots.,fraud,scam_fraud2.csv,,
I only invest after 3 days of research No exceptions. Saved me from 10+ scams.,prevention,prevent2.csv,,
Wrote seed phrase on paper Roommate found it. Stole everything.,fraud,scam_fraud2.csv,,
DNS over HTTPS prevents spoofing Harder for scammers to redirect you.,prevention,prevent1.csv,,
Check sender email address carefully support@coinbase-security.com is fake. Real is @coinbase.com.,prevention,prevent1.csv,,
